Borda count

Preference Schedule:
Voter 1: Sayan, Jayadev, Vishal, Vishesh, Hardeep, Aditya, Somy, Govind, Sachin, Amrish
Voter 5833: Sayan, Hardeep, Amrish, Somy, Vishesh, Vishal, Aditya, Jayadev, Govind, Sachin
Voter 5834: Sachin, Hardeep, Jayadev, Amrish, Somy, Vishal, Govind, Vishesh, Aditya, Sayan
Voter 5835: Vishal, Sayan, Vishesh, Hardeep, Somy, Amrish, Jayadev, Aditya, Sachin, Govind
Voter 5836: Sachin, Vishal, Sayan, Aditya, Vishesh, Somy, Jayadev, Govind, Amrish, Hardeep
Voter 5837: Somy, Sayan, Sachin, Aditya, Govind, Amrish, Vishal, Jayadev, Vishesh, Hardeep
Voter 5838: Somy, Vishesh, Sayan, Aditya, Vishal, Amrish, Sachin, Hardeep, Govind, Jayadev
Voter 5839: Govind, Amrish, Aditya, Vishesh, Hardeep, Somy, Sachin, Sayan, Jayadev, Vishal
Voter 5840: Jayadev, Govind, Somy, Hardeep, Aditya, Sachin, Amrish, Vishesh, Vishal, Sayan
Voter 5841: Amrish, Sayan, Somy, Govind, Hardeep, Aditya, Jayadev, Vishesh, Sachin, Vishal
Voter 5842: Vishesh, Amrish, Aditya, Somy, Vishal, Jayadev, Govind, Sayan, Sachin, Hardeep
Voter 5843: Hardeep, Amrish, Vishesh, Somy, Govind, Aditya, Sachin, Jayadev, Sayan, Vishal
Voter 5844: Sayan, Jayadev, Govind, Sachin, Vishesh, Hardeep, Amrish, Aditya, Vishal, Somy
Voter 5845: Vishesh, Hardeep, Amrish, Sachin, Jayadev, Vishal, Govind, Aditya, Sayan, Somy
Voter 5846: Vishal, Aditya, Sachin, Jayadev, Somy, Amrish, Hardeep, Vishesh, Govind, Sayan
Voter 5847: Hardeep, Sayan, Jayadev, Vishesh, Govind, Amrish, Somy, Sachin, Vishal, Aditya
Voter 5848: Hardeep, Jayadev, Aditya, Vishal, Govind, Sachin, Sayan, Vishesh, Amrish, Somy
Voter 5849: Vishesh, Aditya, Amrish, Jayadev, Vishal, Sachin, Govind, Sayan, Somy, Hardeep
Voter 5850: Govind, Hardeep, Vishesh, Vishal, Somy, Sayan, Amrish, Aditya, Sachin, Jayadev
Voter 5851: Amrish, Sachin, Vishal, Jayadev, Hardeep, Sayan, Somy, Aditya, Govind, Vishesh
Voter 5852: Aditya, Amrish, Govind, Sayan, Vishal, Vishesh, Sachin, Somy, Jayadev, Hardeep
Voter 5853: Vishal, Sayan, Hardeep, Somy, Aditya, Jayadev, Amrish, Govind, Vishesh, Sachin
Voter 5854: Sachin, Sayan, Aditya, Amrish, Jayadev, Vishesh, Hardeep, Somy, Vishal, Govind
Voter 5855: Sachin, Aditya, Hardeep, Jayadev, Govind, Amrish, Vishesh, Vishal, Sayan, Somy
Voter 5856: Hardeep, Somy, Amrish, Govind, Jayadev, Sayan, Vishal, Vishesh, Aditya, Sachin
Voter 5857: Sayan, Govind, Vishal, Jayadev, Hardeep, Vishesh, Somy, Amrish, Aditya, Sachin
Voter 5858: Hardeep, Aditya, Sachin, Jayadev, Amrish, Vishesh, Somy, Sayan, Govind, Vishal
Voter 5859: Amrish, Vishal, Jayadev, Hardeep, Govind, Vishesh, Sachin, Sayan, Somy, Aditya
Voter 5860: Govind, Somy, Aditya, Hardeep, Sachin, Sayan, Vishal, Vishesh, Amrish, Jayadev
Voter 5861: Amrish, Jayadev, Vishal, Aditya, Govind, Hardeep, Sayan, Sachin, Vishesh, Somy
Voter 5862: Govind, Somy, Aditya, Amrish, Hardeep, Sachin, Vishal, Jayadev, Vishesh, Sayan
Voter 5863: Somy, Sayan, Vishesh, Sachin, Amrish, Govind, Vishal, Hardeep, Aditya, Jayadev
Voter 5864: Vishesh, Vishal, Hardeep, Govind, Sachin, Aditya, Sayan, Amrish, Jayadev, Somy
Voter 5865: Somy, Sachin, Aditya, Vishal, Sayan, Amrish, Govind, Jayadev, Vishesh, Hardeep
Voter 5866: Vishal, Jayadev, Amrish, Sachin, Hardeep, Vishesh, Aditya, Govind, Sayan, Somy
Voter 5867: Sayan, Hardeep, Jayadev, Govind, Somy, Amrish, Sachin, Aditya, Vishal, Vishesh
Voter 5868: Vishesh, Somy, Govind, Sachin, Aditya, Jayadev, Hardeep, Sayan, Amrish, Vishal
Voter 5869: Vishal, Hardeep, Aditya, Vishesh, Somy, Jayadev, Sachin, Sayan, Amrish, Govind
Voter 5870: Govind, Jayadev, Somy, Sayan, Sachin, Vishal, Aditya, Hardeep, Vishesh, Amrish
Voter 5871: Sachin, Somy, Hardeep, Aditya, Amrish, Govind, Vishal, Jayadev, Sayan, Vishesh
Voter 5872: Jayadev, Hardeep, Vishal, Vishesh, Amrish, Somy, Govind, Aditya, Sachin, Sayan
Voter 5873: Sayan, Jayadev, Somy, Govind, Vishesh, Aditya, Vishal, Sachin, Amrish, Hardeep
Voter 5874: Somy, Hardeep, Sayan, Vishal, Vishesh, Sachin, Jayadev, Aditya, Govind, Amrish
Voter 5875: Vishesh, Vishal, Aditya, Jayadev, Govind, Somy, Sachin, Hardeep, Sayan, Amrish
Voter 5876: Hardeep, Jayadev, Somy, Vishal, Aditya, Govind, Vishesh, Sachin, Amrish, Sayan
Voter 5877: Aditya, Vishal, Govind, Jayadev, Sachin, Sayan, Somy, Vishesh, Amrish, Hardeep
Voter 5878: Vishesh, Amrish, Vishal, Hardeep, Somy, Jayadev, Govind, Aditya, Sayan, Sachin
Voter 5879: Sachin, Govind, Hardeep, Amrish, Vishesh, Sayan, Jayadev, Aditya, Vishal, Somy
Voter 5880: Aditya, Sachin, Somy, Jayadev, Vishal, Sayan, Vishesh, Amrish, Hardeep, Govind
Voter 5881: Somy, Sachin, Vishal, Hardeep, Jayadev, Sayan, Aditya, Vishesh, Amrish, Govind
Voter 5882: Vishal, Aditya, Vishesh, Govind, Jayadev, Hardeep, Sayan, Amrish, Somy, Sachin
Voter 5883: Somy, Jayadev, Govind, Hardeep, Amrish, Vishesh, Sayan, Aditya, Sachin, Vishal
Voter 5884: Sachin, Somy, Hardeep, Amrish, Vishesh, Govind, Jayadev, Vishal, Aditya, Sayan
Voter 5885: Hardeep, Govind, Amrish, Vishesh, Sachin, Aditya, Sayan, Somy, Jayadev, Vishal
Voter 5886: Vishesh, Amrish, Jayadev, Hardeep, Somy, Aditya, Sachin, Sayan, Vishal, Govind
Voter 5887: Amrish, Vishal, Govind, Vishesh, Sayan, Somy, Aditya, Jayadev, Hardeep, Sachin
Voter 5888: Vishal, Govind, Vishesh, Amrish, Sachin, Aditya, Somy, Hardeep, Sayan, Jayadev
Voter 5889: Vishal, Aditya, Vishesh, Jayadev, Amrish, Govind, Sachin, Sayan, Hardeep, Somy
Voter 5890: Amrish, Govind, Vishesh, Sayan, Aditya, Somy, Jayadev, Hardeep, Sachin, Vishal
Voter 5891: Vishal, Aditya, Sachin, Hardeep, Jayadev, Govind, Sayan, Amrish, Vishesh, Somy
Voter 5892: Sachin, Vishal, Jayadev, Amrish, Vishesh, Aditya, Govind, Sayan, Hardeep, Somy
Voter 5893: Aditya, Sayan, Vishal, Hardeep, Vishesh, Sachin, Amrish, Govind, Somy, Jayadev
Voter 5894: Aditya, Jayadev, Hardeep, Sachin, Vishal, Vishesh, Somy, Govind, Amrish, Sayan
Voter 5895: Aditya, Amrish, Sachin, Govind, Jayadev, Hardeep, Vishal, Vishesh, Sayan, Somy
Voter 5896: Jayadev, Vishesh, Sachin, Amrish, Aditya, Govind, Hardeep, Sayan, Vishal, Somy
Voter 5897: Aditya, Jayadev, Sayan, Vishesh, Sachin, Govind, Hardeep, Amrish, Somy, Vishal
Voter 5898: Vishal, Vishesh, Hardeep, Sayan, Jayadev, Aditya, Somy, Amrish, Sachin, Govind
Voter 5899: Somy, Vishesh, Sayan, Jayadev, Hardeep, Govind, Amrish, Vishal, Sachin, Aditya
Voter 5900: Sachin, Hardeep, Sayan, Govind, Vishal, Aditya, Amrish, Vishesh, Jayadev, Somy
Voter 5901: Vishal, Jayadev, Aditya, Hardeep, Govind, Amrish, Sachin, Vishesh, Somy, Sayan
Voter 5902: Govind, Amrish, Sayan, Hardeep, Aditya, Vishesh, Somy, Jayadev, Vishal, Sachin
Voter 5903: Aditya, Somy, Vishesh, Sayan, Vishal, Jayadev, Hardeep, Sachin, Amrish, Govind
Voter 5904: Hardeep, Vishesh, Jayadev, Vishal, Sachin, Somy, Aditya, Amrish, Sayan, Govind
Voter 5905: Govind, Sachin, Amrish, Somy, Hardeep, Aditya, Vishesh, Sayan, Jayadev, Vishal
Voter 5906: Hardeep, Govind, Sachin, Jayadev, Somy, Amrish, Vishal, Sayan, Aditya, Vishesh
Voter 5907: Vishesh, Sayan, Sachin, Vishal, Aditya, Hardeep, Govind, Somy, Jayadev, Amrish
Voter 5908: Govind, Jayadev, Sayan, Aditya, Sachin, Somy, Vishal, Vishesh, Hardeep, Amrish
Voter 5909: Jayadev, Vishesh, Vishal, Hardeep, Sachin, Sayan, Somy, Govind, Aditya, Amrish
Voter 5910: Vishal, Hardeep, Sachin, Sayan, Jayadev, Govind, Vishesh, Aditya, Amrish, Somy
Voter 5911: Vishal, Aditya, Jayadev, Hardeep, Vishesh, Amrish, Sayan, Sachin, Govind, Somy
Voter 5912: Vishal, Sachin, Aditya, Govind, Jayadev, Vishesh, Sayan, Hardeep, Amrish, Somy
Voter 5913: Aditya, Hardeep, Somy, Amrish, Govind, Sayan, Vishal, Sachin, Vishesh, Jayadev
Voter 5914: Vishal, Amrish, Aditya, Govind, Vishesh, Sachin, Jayadev, Somy, Hardeep, Sayan
Voter 5915: Aditya, Sachin, Jayadev, Govind, Sayan, Vishal, Somy, Vishesh, Hardeep, Amrish
Voter 5916: Aditya, Sachin, Sayan, Somy, Hardeep, Vishal, Vishesh, Govind, Jayadev, Amrish
Voter 5917: Jayadev, Vishesh, Hardeep, Amrish, Govind, Somy, Aditya, Sachin, Vishal, Sayan
Voter 5918: Sayan, Jayadev, Sachin, Amrish, Vishal, Vishesh, Govind, Aditya, Hardeep, Somy
Voter 5919: Hardeep, Vishesh, Vishal, Amrish, Sachin, Somy, Sayan, Aditya, Jayadev, Govind
Voter 5920: Vishal, Vishesh, Sayan, Somy, Sachin, Govind, Aditya, Amrish, Jayadev, Hardeep
Voter 5921: Govind, Vishal, Jayadev, Hardeep, Somy, Sayan, Vishesh, Amrish, Aditya, Sachin
Voter 5922: Sachin, Jayadev, Aditya, Govind, Vishesh, Somy, Hardeep, Amrish, Sayan, Vishal
Voter 5923: Somy, Vishal, Amrish, Jayadev, Sayan, Vishesh, Govind, Aditya, Hardeep, Sachin
Voter 5924: Vishesh, Sachin, Aditya, Vishal, Sayan, Govind, Jayadev, Somy, Amrish, Hardeep
Voter 5925: Amrish, Aditya, Vishal, Sachin, Hardeep, Vishesh, Sayan, Jayadev, Govind, Somy
Voter 5926: Sayan, Amrish, Somy, Aditya, Govind, Vishal, Sachin, Hardeep, Vishesh, Jayadev
Voter 5927: Amrish, Somy, Jayadev, Sayan, Vishal, Govind, Hardeep, Aditya, Vishesh, Sachin
Voter 5928: Somy, Aditya, Vishesh, Sachin, Hardeep, Amrish, Sayan, Vishal, Govind, Jayadev
Voter 5929: Aditya, Vishesh, Hardeep, Sayan, Govind, Vishal, Jayadev, Somy, Sachin, Amrish
Voter 5930: Jayadev, Vishal, Hardeep, Somy, Sachin, Govind, Sayan, Aditya, Vishesh, Amrish
Voter 5931: Vishesh, Govind, Jayadev, Vishal, Sachin, Sayan, Hardeep, Somy, Aditya, Amrish
Voter 5932: Vishesh, Aditya, Jayadev, Amrish, Govind, Hardeep, Vishal, Sachin, Sayan, Somy
Voter 5933: Jayadev, Vishal, Somy, Sachin, Sayan, Amrish, Vishesh, Aditya, Govind, Hardeep
Voter 5934: Somy, Jayadev, Aditya, Govind, Amrish, Hardeep, Sachin, Vishal, Vishesh, Sayan
Voter 5935: Vishal, Govind, Sachin, Amrish, Aditya, Hardeep, Vishesh, Somy, Sayan, Jayadev
Voter 5936: Vishal, Somy, Govind, Vishesh, Jayadev, Sayan, Sachin, Aditya, Hardeep, Amrish
Voter 5937: Govind, Hardeep, Vishesh, Sachin, Amrish, Jayadev, Aditya, Somy, Vishal, Sayan
Voter 5938: Hardeep, Sayan, Somy, Jayadev, Vishal, Sachin, Govind, Vishesh, Aditya, Amrish
Voter 5939: Vishesh, Amrish, Vishal, Sachin, Aditya, Govind, Jayadev, Somy, Sayan, Hardeep
Voter 5940: Amrish, Sachin, Vishal, Somy, Vishesh, Aditya, Jayadev, Hardeep, Sayan, Govind
Voter 5941: Govind, Sayan, Hardeep, Amrish, Aditya, Vishal, Vishesh, Sachin, Jayadev, Somy
Voter 5942: Amrish, Somy, Jayadev, Govind, Vishesh, Vishal, Aditya, Hardeep, Sachin, Sayan
Voter 5943: Govind, Amrish, Sachin, Hardeep, Vishesh, Jayadev, Sayan, Somy, Vishal, Aditya
Voter 5944: Amrish, Vishal, Sachin, Aditya, Jayadev, Vishesh, Hardeep, Govind, Sayan, Somy
Voter 5945: Amrish, Jayadev, Hardeep, Somy, Aditya, Sayan, Vishesh, Sachin, Govind, Vishal
Voter 5946: Hardeep, Sayan, Somy, Vishesh, Jayadev, Govind, Sachin, Vishal, Aditya, Amrish
Voter 5947: Amrish, Aditya, Vishesh, Sachin, Somy, Sayan, Govind, Jayadev, Vishal, Hardeep
Voter 5948: Sayan, Sachin, Amrish, Aditya, Govind, Hardeep, Jayadev, Vishal, Somy, Vishesh
Voter 5949: Aditya, Jayadev, Sayan, Sachin, Govind, Vishal, Vishesh, Amrish, Hardeep, Somy
Voter 5950: Vishesh, Somy, Vishal, Govind, Amrish, Jayadev, Hardeep, Aditya, Sayan, Sachin
Voter 5951: Sachin, Govind, Hardeep, Aditya, Sayan, Vishal, Somy, Amrish, Jayadev, Vishesh
Voter 5952: Vishal, Amrish, Hardeep, Sayan, Aditya, Sachin, Somy, Govind, Jayadev, Vishesh
Voter 5953: Amrish, Sachin, Jayadev, Hardeep, Vishesh, Aditya, Vishal, Sayan, Govind, Somy
Voter 5954: Vishal, Govind, Vishesh, Jayadev, Hardeep, Amrish, Sayan, Aditya, Sachin, Somy
Voter 5955: Govind, Vishesh, Vishal, Jayadev, Amrish, Somy, Hardeep, Aditya, Sachin, Sayan
Voter 5956: Sachin, Vishal, Jayadev, Sayan, Somy, Vishesh, Aditya, Amrish, Govind, Hardeep
Voter 5957: Hardeep, Sayan, Sachin, Amrish, Aditya, Vishesh, Vishal, Jayadev, Somy, Govind
Voter 5958: Sachin, Sayan, Hardeep, Govind, Somy, Amrish, Vishal, Aditya, Jayadev, Vishesh
Voter 5959: Sayan, Somy, Sachin, Jayadev, Amrish, Hardeep, Aditya, Govind, Vishal, Vishesh
Voter 5960: Aditya, Sachin, Govind, Amrish, Somy, Jayadev, Sayan, Vishesh, Vishal, Hardeep
Voter 5961: Sayan, Vishal, Sachin, Aditya, Somy, Jayadev, Amrish, Govind, Hardeep, Vishesh
Voter 5962: Vishesh, Govind, Somy, Amrish, Jayadev, Sachin, Hardeep, Sayan, Vishal, Aditya
Voter 5963: Sachin, Jayadev, Vishal, Amrish, Hardeep, Somy, Aditya, Sayan, Vishesh, Govind
Voter 5964: Sachin, Sayan, Govind, Somy, Amrish, Jayadev, Vishal, Hardeep, Vishesh, Aditya
Voter 5965: Aditya, Sachin, Vishesh, Amrish, Govind, Sayan, Somy, Jayadev, Vishal, Hardeep
Voter 5966: Hardeep, Vishal, Jayadev, Sachin, Sayan, Somy, Amrish, Aditya, Govind, Vishesh
Voter 5967: Somy, Jayadev, Govind, Aditya, Vishesh, Vishal, Hardeep, Sayan, Sachin, Amrish
Voter 5968: Sachin, Jayadev, Vishesh, Amrish, Aditya, Sayan, Vishal, Somy, Hardeep, Govind
Voter 5969: Sayan, Govind, Hardeep, Jayadev, Vishesh, Somy, Aditya, Sachin, Vishal, Amrish
Voter 5970: Vishal, Somy, Aditya, Jayadev, Vishesh, Amrish, Govind, Sachin, Sayan, Hardeep
Voter 5971: Sachin, Aditya, Vishesh, Sayan, Govind, Somy, Hardeep, Vishal, Amrish, Jayadev
Voter 5972: Sachin, Sayan, Vishal, Hardeep, Govind, Amrish, Vishesh, Somy, Jayadev, Aditya
Voter 5973: Govind, Vishal, Sayan, Hardeep, Jayadev, Aditya, Sachin, Vishesh, Somy, Amrish
Voter 5974: Vishal, Jayadev, Sachin, Aditya, Vishesh, Somy, Govind, Amrish, Sayan, Hardeep
Voter 5975: Aditya, Vishal, Govind, Amrish, Sachin, Sayan, Jayadev, Vishesh, Somy, Hardeep
Voter 5976: Vishal, Vishesh, Hardeep, Jayadev, Amrish, Aditya, Somy, Govind, Sayan, Sachin
Voter 5977: Somy, Sachin, Sayan, Vishal, Govind, Vishesh, Hardeep, Jayadev, Aditya, Amrish
Voter 5978: Vishal, Sayan, Vishesh, Jayadev, Hardeep, Somy, Amrish, Sachin, Aditya, Govind
Voter 5979: Hardeep, Vishesh, Jayadev, Govind, Vishal, Somy, Sayan, Amrish, Sachin, Aditya
Voter 5980: Govind, Sayan, Hardeep, Amrish, Sachin, Vishal, Aditya, Jayadev, Vishesh, Somy
Voter 5981: Vishal, Vishesh, Somy, Sachin, Aditya, Hardeep, Sayan, Amrish, Govind, Jayadev
Voter 5982: Sachin, Jayadev, Vishal, Somy, Aditya, Hardeep, Sayan, Govind, Vishesh, Amrish
Voter 5983: Vishesh, Hardeep, Aditya, Vishal, Somy, Govind, Sachin, Jayadev, Sayan, Amrish
Voter 5984: Amrish, Sachin, Vishesh, Aditya, Hardeep, Somy, Vishal, Govind, Sayan, Jayadev
Voter 5985: Somy, Hardeep, Aditya, Sachin, Govind, Vishesh, Jayadev, Amrish, Sayan, Vishal
Voter 5986: Vishesh, Aditya, Govind, Sayan, Somy, Sachin, Amrish, Vishal, Hardeep, Jayadev
Voter 5987: Vishesh, Somy, Govind, Jayadev, Hardeep, Sayan, Amrish, Aditya, Vishal, Sachin
Voter 5988: Vishal, Aditya, Amrish, Govind, Sachin, Jayadev, Somy, Hardeep, Vishesh, Sayan
Voter 5989: Aditya, Somy, Sayan, Sachin, Hardeep, Vishesh, Jayadev, Govind, Amrish, Vishal
Voter 5990: Hardeep, Jayadev, Sachin, Aditya, Sayan, Amrish, Govind, Somy, Vishesh, Vishal
Voter 5991: Sayan, Amrish, Govind, Vishesh, Sachin, Hardeep, Somy, Jayadev, Vishal, Aditya
Voter 5992: Somy, Jayadev, Aditya, Govind, Sachin, Vishal, Amrish, Vishesh, Hardeep, Sayan
Voter 5993: Sayan, Aditya, Somy, Jayadev, Vishesh, Sachin, Vishal, Govind, Hardeep, Amrish
Voter 5994: Aditya, Jayadev, Vishal, Vishesh, Sachin, Sayan, Amrish, Somy, Govind, Hardeep
Voter 5995: Amrish, Vishesh, Govind, Sayan, Sachin, Jayadev, Somy, Vishal, Hardeep, Aditya
Voter 5996: Govind, Amrish, Sachin, Vishesh, Vishal, Aditya, Hardeep, Jayadev, Somy, Sayan
Voter 5997: Aditya, Jayadev, Hardeep, Amrish, Sachin, Govind, Sayan, Somy, Vishesh, Vishal
Voter 5998: Somy, Jayadev, Sayan, Vishesh, Amrish, Aditya, Sachin, Govind, Vishal, Hardeep
Voter 5999: Hardeep, Govind, Somy, Vishesh, Vishal, Aditya, Sachin, Amrish, Sayan, Jayadev
Voter 6000: Jayadev, Vishesh, Sachin, Aditya, Amrish, Vishal, Sayan, Somy, Govind, Hardeep
Voter 6001: Jayadev, Aditya, Vishesh, Vishal, Sachin, Sayan, Somy, Amrish, Hardeep, Govind
Voter 6002: Jayadev, Govind, Somy, Vishesh, Hardeep, Aditya, Amrish, Sachin, Sayan, Vishal
Voter 6003: Govind, Vishal, Amrish, Jayadev, Sachin, Somy, Vishesh, Hardeep, Sayan, Aditya
Voter 6004: Jayadev, Hardeep, Vishesh, Sachin, Aditya, Sayan, Govind, Somy, Vishal, Amrish
Voter 6005: Sachin, Somy, Vishesh, Vishal, Govind, Hardeep, Amrish, Jayadev, Sayan, Aditya
Voter 6006: Jayadev, Aditya, Vishesh, Amrish, Sachin, Sayan, Hardeep, Govind, Vishal, Somy
Voter 6007: Jayadev, Hardeep, Sayan, Somy, Sachin, Vishal, Vishesh, Aditya, Amrish, Govind
Voter 6008: Vishesh, Aditya, Sachin, Sayan, Somy, Jayadev, Amrish, Hardeep, Govind, Vishal
Voter 6009: Vishesh, Jayadev, Somy, Vishal, Amrish, Sayan, Hardeep, Govind, Aditya, Sachin
Voter 6010: Jayadev, Vishesh, Aditya, Vishal, Amrish, Sachin, Govind, Hardeep, Sayan, Somy
Voter 6011: Sayan, Jayadev, Vishal, Hardeep, Sachin, Amrish, Somy, Aditya, Vishesh, Govind
Voter 6012: Jayadev, Vishal, Sachin, Aditya, Vishesh, Sayan, Govind, Hardeep, Amrish, Somy
Voter 6013: Sayan, Jayadev, Aditya, Vishesh, Govind, Hardeep, Vishal, Amrish, Sachin, Somy
Voter 6014: Aditya, Jayadev, Sayan, Sachin, Amrish, Hardeep, Somy, Vishal, Govind, Vishesh
Voter 6015: Aditya, Vishesh, Vishal, Amrish, Govind, Somy, Hardeep, Jayadev, Sachin, Sayan
Voter 6016: Amrish, Vishal, Sachin, Govind, Hardeep, Vishesh, Somy, Jayadev, Sayan, Aditya
Voter 6017: Aditya, Sachin, Sayan, Vishal, Somy, Govind, Jayadev, Hardeep, Amrish, Vishesh
Voter 6018: Jayadev, Somy, Sayan, Sachin, Vishal, Aditya, Hardeep, Amrish, Vishesh, Govind
Voter 6019: Jayadev, Hardeep, Govind, Vishesh, Sachin, Vishal, Amrish, Sayan, Aditya, Somy
Voter 6020: Hardeep, Somy, Vishal, Vishesh, Sayan, Aditya, Amrish, Govind, Jayadev, Sachin
Voter 6021: Somy, Govind, Jayadev, Sayan, Sachin, Vishal, Amrish, Aditya, Hardeep, Vishesh
Voter 6022: Somy, Hardeep, Sachin, Vishal, Govind, Jayadev, Aditya, Sayan, Amrish, Vishesh
Voter 6023: Sayan, Aditya, Vishal, Vishesh, Amrish, Hardeep, Govind, Somy, Jayadev, Sachin
Voter 6024: Sachin, Amrish, Sayan, Jayadev, Vishesh, Vishal, Hardeep, Aditya, Somy, Govind
Voter 6025: Vishesh, Vishal, Jayadev, Sayan, Aditya, Govind, Sachin, Hardeep, Somy, Amrish
Voter 6026: Jayadev, Amrish, Somy, Vishesh, Aditya, Vishal, Sachin, Govind, Sayan, Hardeep
Voter 6027: Hardeep, Sachin, Amrish, Vishal, Aditya, Vishesh, Somy, Jayadev, Govind, Sayan
Voter 6028: Hardeep, Sayan, Govind, Somy, Aditya, Jayadev, Vishesh, Amrish, Sachin, Vishal
Voter 6029: Jayadev, Hardeep, Govind, Aditya, Somy, Amrish, Sayan, Vishal, Vishesh, Sachin
Voter 6030: Vishesh, Aditya, Hardeep, Somy, Amrish, Sachin, Govind, Vishal, Jayadev, Sayan
Voter 6031: Somy, Vishesh, Sachin, Hardeep, Aditya, Jayadev, Vishal, Sayan, Amrish, Govind
Voter 6032: Sayan, Govind, Vishesh, Amrish, Jayadev, Vishal, Hardeep, Somy, Sachin, Aditya
Voter 6033: Hardeep, Jayadev, Govind, Sayan, Vishal, Vishesh, Amrish, Sachin, Aditya, Somy
Voter 6034: Aditya, Sayan, Jayadev, Sachin, Somy, Amrish, Vishesh, Vishal, Govind, Hardeep
Voter 6035: Sayan, Vishal, Vishesh, Amrish, Jayadev, Somy, Sachin, Aditya, Hardeep, Govind
Voter 6036: Aditya, Sachin, Amrish, Jayadev, Vishal, Somy, Govind, Vishesh, Hardeep, Sayan
Voter 6037: Somy, Aditya, Govind, Jayadev, Hardeep, Sayan, Sachin, Amrish, Vishesh, Vishal
Voter 6038: Hardeep, Govind, Sayan, Vishesh, Jayadev, Sachin, Somy, Amrish, Vishal, Aditya
Voter 6039: Vishesh, Sachin, Sayan, Hardeep, Amrish, Vishal, Govind, Somy, Aditya, Jayadev
Voter 6040: Govind, Somy, Sayan, Vishal, Amrish, Sachin, Jayadev, Hardeep, Aditya, Vishesh
Voter 6041: Hardeep, Vishal, Govind, Sachin, Jayadev, Aditya, Vishesh, Somy, Sayan, Amrish
Voter 6042: Aditya, Hardeep, Jayadev, Sachin, Somy, Amrish, Vishal, Sayan, Vishesh, Govind
Voter 6043: Vishal, Somy, Govind, Vishesh, Sachin, Aditya, Jayadev, Hardeep, Amrish, Sayan
Voter 6044: Vishal, Amrish, Govind, Sayan, Hardeep, Somy, Jayadev, Vishesh, Aditya, Sachin
Voter 6045: Vishal, Vishesh, Sayan, Aditya, Hardeep, Sachin, Govind, Jayadev, Somy, Amrish
Voter 6046: Sachin, Aditya, Vishal, Hardeep, Jayadev, Vishesh, Sayan, Amrish, Somy, Govind
Voter 6047: Hardeep, Aditya, Vishal, Somy, Amrish, Govind, Jayadev, Vishesh, Sayan, Sachin
Voter 6048: Sayan, Aditya, Vishal, Amrish, Somy, Vishesh, Hardeep, Jayadev, Sachin, Govind
Voter 6049: Somy, Amrish, Vishesh, Govind, Sayan, Aditya, Vishal, Hardeep, Jayadev, Sachin
Voter 6050: Sayan, Sachin, Somy, Amrish, Aditya, Govind, Vishesh, Vishal, Jayadev, Hardeep
Voter 6051: Amrish, Sachin, Aditya, Vishesh, Sayan, Jayadev, Hardeep, Govind, Vishal, Somy
Voter 6052: Somy, Amrish, Govind, Hardeep, Aditya, Jayadev, Vishal, Vishesh, Sachin, Sayan
Voter 6053: Hardeep, Vishal, Vishesh, Somy, Jayadev, Amrish, Sayan, Aditya, Sachin, Govind
Voter 6054: Somy, Amrish, Sayan, Vishal, Hardeep, Sachin, Vishesh, Aditya, Govind, Jayadev
Voter 6055: Govind, Hardeep, Jayadev, Sayan, Amrish, Sachin, Aditya, Somy, Vishal, Vishesh
Voter 6056: Jayadev, Sachin, Somy, Amrish, Vishal, Aditya, Sayan, Vishesh, Govind, Hardeep
Voter 6057: Vishesh, Amrish, Hardeep, Somy, Sachin, Sayan, Govind, Aditya, Vishal, Jayadev
Voter 6058: Sayan, Vishal, Somy, Aditya, Amrish, Vishesh, Sachin, Govind, Jayadev, Hardeep
Voter 6059: Sachin, Vishal, Sayan, Aditya, Jayadev, Vishesh, Amrish, Hardeep, Somy, Govind
Voter 6060: Sachin, Jayadev, Vishal, Amrish, Govind, Somy, Aditya, Vishesh, Hardeep, Sayan
Voter 6061: Hardeep, Somy, Govind, Sayan, Vishesh, Jayadev, Vishal, Sachin, Amrish, Aditya
Voter 6062: Sachin, Somy, Jayadev, Vishesh, Amrish, Sayan, Hardeep, Govind, Aditya, Vishal
Voter 6063: Aditya, Jayadev, Vishal, Govind, Amrish, Sachin, Sayan, Vishesh, Somy, Hardeep
Voter 6064: Vishesh, Govind, Hardeep, Aditya, Somy, Vishal, Sachin, Jayadev, Amrish, Sayan
Voter 6065: Govind, Aditya, Vishesh, Somy, Sayan, Amrish, Sachin, Jayadev, Vishal, Hardeep
Voter 6066: Amrish, Hardeep, Somy, Vishesh, Sachin, Govind, Sayan, Aditya, Vishal, Jayadev
Voter 6067: Sayan, Sachin, Govind, Vishal, Hardeep, Somy, Jayadev, Amrish, Aditya, Vishesh
Voter 6068: Jayadev, Aditya, Amrish, Hardeep, Somy, Sachin, Govind, Vishesh, Sayan, Vishal
Voter 6069: Sachin, Govind, Amrish, Sayan, Somy, Jayadev, Vishesh, Hardeep, Vishal, Aditya
Voter 6070: Aditya, Sachin, Amrish, Vishal, Hardeep, Somy, Jayadev, Sayan, Govind, Vishesh
Voter 6071: Hardeep, Amrish, Aditya, Sayan, Vishal, Somy, Vishesh, Govind, Jayadev, Sachin
Voter 6072: Jayadev, Aditya, Vishesh, Sachin, Sayan, Amrish, Vishal, Somy, Govind, Hardeep
